cell_id,recipe_id,model,calibration,weighting,downsampling,cell_name,training_config,pipeline_config
55,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,log,1.0,LinSVM_cal_logistic_intercept_log_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds1/pipeline_hpc.yaml
56,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,log,2.0,LinSVM_cal_logistic_intercept_log_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds2/pipeline_hpc.yaml
57,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,log,5.0,LinSVM_cal_logistic_intercept_log_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds5/pipeline_hpc.yaml
58,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,sqrt,1.0,LinSVM_cal_logistic_intercept_sqrt_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds1/pipeline_hpc.yaml
59,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,sqrt,2.0,LinSVM_cal_logistic_intercept_sqrt_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds2/pipeline_hpc.yaml
60,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,sqrt,5.0,LinSVM_cal_logistic_intercept_sqrt_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds5/pipeline_hpc.yaml
61,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,none,1.0,LinSVM_cal_logistic_intercept_none_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds1/pipeline_hpc.yaml
62,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,none,2.0,LinSVM_cal_logistic_intercept_none_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds2/pipeline_hpc.yaml
63,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,none,5.0,LinSVM_cal_logistic_intercept_none_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds5/pipeline_hpc.yaml
64,MS_rfe_LinSVM_cal,LinSVM_cal,beta,log,1.0,LinSVM_cal_beta_log_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_log_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_log_ds1/pipeline_hpc.yaml
